file;run;n;m;objective;time
ta79.txt;7;100;10;5875;96
ta79.txt;8;100;10;5875;54
ta79.txt;9;100;10;5875;62
ta79.txt;10;100;10;5875;81
ta79.txt;11;100;10;5875;66
ta79.txt;12;100;10;5875;62
ta79.txt;13;100;10;5875;62
ta79.txt;14;100;10;5875;56
ta79.txt;15;100;10;5891;36
ta79.txt;16;100;10;5875;72
ta79.txt;17;100;10;5875;54
ta79.txt;18;100;10;5875;66
ta79.txt;19;100;10;5875;68
ta80.txt;0;100;10;5848;53
ta80.txt;1;100;10;5848;44
ta80.txt;2;100;10;5848;54
ta80.txt;3;100;10;5848;44
ta80.txt;4;100;10;5848;41
ta80.txt;5;100;10;5848;48
ta80.txt;6;100;10;5848;53
ta80.txt;7;100;10;5848;66
ta80.txt;8;100;10;5848;57
ta80.txt;9;100;10;5848;44
ta80.txt;10;100;10;5848;48
ta80.txt;11;100;10;5848;52
ta80.txt;12;100;10;5848;72
ta80.txt;13;100;10;5848;56
ta80.txt;14;100;10;5848;43
ta80.txt;15;100;10;5848;74
ta80.txt;16;100;10;5848;61
ta80.txt;17;100;10;5848;70
ta80.txt;18;100;10;5848;54
ta80.txt;19;100;10;5848;76
ta81.txt;0;100;20;6267;186
ta81.txt;1;100;20;6260;312
ta81.txt;2;100;20;6271;247
ta81.txt;3;100;20;6264;216
ta81.txt;4;100;20;6260;190
ta81.txt;5;100;20;6271;245
ta81.txt;6;100;20;6265;250
ta81.txt;7;100;20;6261;269
ta81.txt;8;100;20;6257;250
ta81.txt;9;100;20;6265;269
ta81.txt;10;100;20;6260;220
ta81.txt;11;100;20;6271;253
ta81.txt;12;100;20;6260;219
ta81.txt;13;100;20;6285;248
ta81.txt;14;100;20;6264;300
ta81.txt;15;100;20;6245;310
ta81.txt;16;100;20;6265;352
ta81.txt;17;100;20;6271;228
ta81.txt;18;100;20;6278;301
ta81.txt;19;100;20;6265;207
ta82.txt;0;100;20;6233;201
ta82.txt;1;100;20;6238;247
ta82.txt;2;100;20;6265;188
ta82.txt;3;100;20;6217;263
ta82.txt;4;100;20;6229;330
ta82.txt;5;100;20;6251;157
ta82.txt;6;100;20;6231;259
ta82.txt;7;100;20;6228;188
ta82.txt;8;100;20;6239;233
ta82.txt;9;100;20;6238;219
ta82.txt;10;100;20;6226;186
ta82.txt;11;100;20;6248;191
ta82.txt;12;100;20;6229;244
ta82.txt;13;100;20;6247;191
ta82.txt;14;100;20;6228;218
ta82.txt;15;100;20;6251;196
ta82.txt;16;100;20;6255;175
ta82.txt;17;100;20;6237;242
ta82.txt;18;100;20;6255;207
ta82.txt;19;100;20;6242;262
ta83.txt;0;100;20;6311;271
ta83.txt;1;100;20;6323;253
ta83.txt;2;100;20;6311;292
ta83.txt;3;100;20;6321;277
ta83.txt;4;100;20;6318;239
ta83.txt;5;100;20;6311;293
ta83.txt;6;100;20;6321;285
ta83.txt;7;100;20;6310;218
ta83.txt;8;100;20;6322;224
ta83.txt;9;100;20;6331;214
ta83.txt;10;100;20;6335;264
ta83.txt;11;100;20;6331;216
ta83.txt;12;100;20;6310;243
ta83.txt;13;100;20;6302;279
ta83.txt;14;100;20;6308;259
ta83.txt;15;100;20;6327;261
ta83.txt;16;100;20;6317;235
ta83.txt;17;100;20;6318;259
ta83.txt;18;100;20;6327;257
ta83.txt;19;100;20;6295;259
ta84.txt;0;100;20;6303;291
ta84.txt;1;100;20;6323;166
ta84.txt;2;100;20;6300;204
ta84.txt;3;100;20;6323;214
ta84.txt;4;100;20;6366;139
ta84.txt;5;100;20;6312;187
ta84.txt;6;100;20;6323;184
ta84.txt;7;100;20;6305;272
ta84.txt;8;100;20;6326;161
ta84.txt;9;100;20;6330;158
ta84.txt;10;100;20;6303;191
ta84.txt;11;100;20;6326;155
ta84.txt;12;100;20;6323;209
ta84.txt;13;100;20;6325;278
ta84.txt;14;100;20;6366;168
ta84.txt;15;100;20;6303;163
ta84.txt;16;100;20;6309;276
