file;run;n;m;objective;time
ta88.txt;1;100;20;10859;81
ta88.txt;2;100;20;10848;81
ta88.txt;3;100;20;10814;110
ta88.txt;4;100;20;10839;102
ta88.txt;5;100;20;10833;89
ta88.txt;6;100;20;10843;82
ta88.txt;7;100;20;10834;94
ta88.txt;8;100;20;10841;72
ta88.txt;9;100;20;10839;86
ta88.txt;10;100;20;10838;66
ta88.txt;11;100;20;10817;96
ta88.txt;12;100;20;10847;80
ta88.txt;13;100;20;10844;79
ta88.txt;14;100;20;10831;85
ta88.txt;15;100;20;10822;99
ta88.txt;16;100;20;10844;95
ta88.txt;17;100;20;10849;69
ta88.txt;18;100;20;10845;82
ta88.txt;19;100;20;10843;79
ta89.txt;0;100;20;10727;97
ta89.txt;1;100;20;10742;84
ta89.txt;2;100;20;10752;71
ta89.txt;3;100;20;10745;90
ta89.txt;4;100;20;10732;73
ta89.txt;5;100;20;10742;75
ta89.txt;6;100;20;10744;67
ta89.txt;7;100;20;10751;57
ta89.txt;8;100;20;10736;91
ta89.txt;9;100;20;10725;84
ta89.txt;10;100;20;10753;78
ta89.txt;11;100;20;10724;82
ta89.txt;12;100;20;10727;81
ta89.txt;13;100;20;10742;82
ta89.txt;14;100;20;10718;90
ta89.txt;15;100;20;10754;91
ta89.txt;16;100;20;10737;90
ta89.txt;17;100;20;10737;89
ta89.txt;18;100;20;10734;85
ta89.txt;19;100;20;10738;104
ta90.txt;0;100;20;10802;83
ta90.txt;1;100;20;10786;80
ta90.txt;2;100;20;10797;79
ta90.txt;3;100;20;10790;95
ta90.txt;4;100;20;10774;83
ta90.txt;5;100;20;10780;71
ta90.txt;6;100;20;10809;62
ta90.txt;7;100;20;10779;67
ta90.txt;8;100;20;10790;80
ta90.txt;9;100;20;10792;117
ta90.txt;10;100;20;10793;78
ta90.txt;11;100;20;10787;109
ta90.txt;12;100;20;10794;84
ta90.txt;13;100;20;10796;122
ta90.txt;14;100;20;10789;61
ta90.txt;15;100;20;10784;100
ta90.txt;16;100;20;10807;85
ta90.txt;17;100;20;10790;97
ta90.txt;18;100;20;10797;74
ta90.txt;19;100;20;10821;81
